tStart, tEnd, accentuation
0.000000, 1.285297, 0.9
0.000000, 1.613239, 0.8
0.000000, 1.938426, 0.2
0.000000, 2.252589, 0.4
0.000000, 2.580531, 0.3
0.000000, 2.900206, 0
0.000000, 3.230904, 0.5
0.000000, 3.539556, 0.2
0.000000, 3.867499, 0.6
0.000000, 4.203708, 0.2
0.000000, 4.517872, 0.6
0.000000, 4.854082, 0.2
0.000000, 5.174965, 0.2
0.000000, 5.500151, 0
0.000000, 5.836361, 0.7
0.000000, 6.152975, 0.2
0.000000, 6.472650, 0.9
0.000000, 6.806960, 0.9
0.000000, 7.129390, 0.2
0.000000, 7.451821, 0.4
0.000000, 7.779763, 0.3
0.000000, 8.110462, 0
0.000000, 8.446671, 0.6
0.000000, 8.766346, 0.2
0.000000, 9.088777, 0.5
0.000000, 9.413964, 0.2
0.000000, 9.747418, 0.5
0.000000, 10.083628, 0.2
0.000000, 10.406058, 0.2
0.000000, 10.725733, 0
0.000000, 11.065772, 0
0.000000, 11.385447, 0.8
0.000000, 11.695673, 0.8
0.000000, 12.015348, 0.7
0.000000, 12.361007, 0
0.000000, 12.683202, 0.4
0.000000, 13.007443, 0.4
0.000000, 13.343653, 0
0.000000, 13.668839, 0.7
0.000000, 13.960956, 0.2
0.000000, 14.297166, 0.5
0.000000, 14.627864, 0.4
0.000000, 14.947539, 0.6
0.000000, 15.278237, 0.2
0.000000, 15.597912, 0.2
0.000000, 15.931800, 0
0.000000, 16.275844, 0.6
0.000000, 16.578984, 0.7
0.000000, 16.937240, 0
0.000000, 17.243569, 0.7
0.000000, 17.587613, 0.4
0.000000, 17.896265, 0.3
0.000000, 18.226963, 0.3
0.000000, 18.552150, 0
0.000000, 18.882848, 0.6
0.000000, 19.213546, 0.2
0.000000, 19.544244, 0.6
0.000000, 19.886986, 0.2
0.000000, 20.184614, 0.6
0.000000, 20.504289, 0.2
0.000000, 20.829476, 0.6
0.000000, 21.187732, 0.6
0.000000, 21.490872, 0.6
0.000000, 21.805035, 0
0.000000, 22.141245, 0.7
0.000000, 22.471943, 0.7
0.000000, 22.808153, 0.2
0.000000, 23.122316, 0
0.000000, 23.447503, 0
0.000000, 23.794736, 0
0.000000, 24.114411, 0.7
0.000000, 24.412040, 0.2
0.000000, 24.748249, 0.5
